MutationType	InD1	InD2a	InD2b	InD3a	InD3b	InD4a	InD4b	InD4c	InD4d	InD6	InD7	InD8	InD9	InD9a	InD9b	InD9c	InD11	InD12	InD13	InD14	InD15	InD16a	InD16b	InD17	InD18	InD19	InD20	InD21	InD23	InD24	InD26	InD29	InD30	InD31	InD32	InD33
G[Del(T):R(1,4)]A	0.003264815	0.005547091	0.007588849	0.008867259	0.005223901	0.00478372	0.021984296	0.000669427	0.000255693	0.007149833	2.27e-19	0.002894391	0.010545057	0.010665774	0.025057057	0.008281831	0.006777206	0.007339954	0.091487005	0.006983724	0.001167207	0.01350306	0.013709832	0.007403751	0.006787758	7.63e-184	0.00851251	0.002222387	0.013436062	0.156874704	0.003574409	0.016671437	0.004688233	0.02935247	0.007739938	0.002663883
G[Del(T):R(1,4)]C	0.001210418	0.003743648	0.005383642	0.007104619	0.003870076	0.001762964	0.011431467	0.000401011	0.002677871	0.002721126	0.000811322	0.006470739	0.015772887	0.005812011	0.020263241	0.009498723	0.003886036	0.004645802	0.005985091	0.004294905	0.001609915	0.006908153	0.009222568	0.002714709	0.004085809	0.000154814	0.006696368	0.002876306	0.00311654	0.008420238	0.004994778	0.016809824	0.000937647	6.3299999999999996e-158	0.004643963	0.002448867
G[Del(T):R(1,4)]G	0.000734731	0.005077187	0.002990332	0.010547587	0.007322293	0.001936901	0.015517501	6.8e-05	0.001500054	0.003514506	1.9e-20	0.009755975	0.017592429	0.010332317	0.01132285	0.014856122	0.005171094	0.004125418	0.007883635	0.005119573	0.000936133	0.005115871	0.007115444	0.000740375	3.76e-07	3.09e-05	0.003805735	0.001567259	0.002154349	0.288380545	0.004139355	0.010390808	0.002344116	0.014705674	0.002321981	0.001117
A[Del(T):R(5,7)]A	0.000138157	0.069990296	0.034796545	0.013199552	0.003406888	0.008105618	0.003860915	0.002106165	0.000180103	0.006601496	0.045556419	0.004547834	0.006566306	0.00323448	0.02643415	0.016213073	0.012425111	0.011588262	0.017439471	0.008151386	0.012576619	0.112670819	0.073152202	0.000246792	0.053657334	0.01181705	0.108257654	0.021340439	0.010483946	0.008192423	0.01550883	0.012654611	0.00140647	0.010695305	0.012383901	0.01033581
A[Del(T):R(5,7)]C	0.002555468	0.046072644	0.018893843	0.007538158	0.002053156	0.005277543	0.003777407	0.003009305	2.71e-05	0.002836159	0.015862905	0.00329239	0.00799838	0.005057796	0.016771032	0.010649809	0.010669712	0.007393745	0.004001042	0.00900889	0.009733731	0.037305909	0.028533651	0.000493583	0.048936959	0.006870793	0.054037993	0.016144091	0.013004904	0.011049135	0.007093818	0.008545077	0.000937647	0.006541658	0.009287926	0.004223001
A[Del(T):R(5,7)]G	2.1e-13	0.03305349	0.020806878	0.006250591	0.001336809	0.002208635	0.002173092	0.000933921	3.7100000000000005e-27	0.005344885	0.026492317	0.001400192	0.002409656	0.0005832	0.004329033	0.006756234	4.34e-05	0.007635643	0.00278858	0.001826559	0.00413986	0.043716733	0.028525736	0.000246792	0.043713583	0.006665008	0.040690712	0.011115023	0.002042501	0.004484339	0.004814086	0.007522176	0.0	0.003058701	0.00619195	0.004086356
C[Del(T):R(5,7)]A	5.38e-05	0.024545462	0.01282338	0.012699584	0.003441609	0.005107338	0.007020797	0.000529902	0.000803392	0.002408275	0.025045871	0.002064233	0.009095597	0.00273096	0.012941551	0.012998777	0.007668548	0.008224515	0.006551703	0.003342347	0.012651463	0.0380558	0.025077444	0.0	0.001612725	0.005461028	0.020662816	0.011919077	0.00792092	0.006821279	0.009266613	0.003181482	0.0	0.007127586	0.009287926	0.002626091
C[Del(T):R(5,7)]C	0.000104048	0.023134343	0.0186289	0.011069288	0.002599651	0.00504356	0.000409275	0.001440229	0.004070098	0.001431192	0.023558085	0.004189106	0.003826357	0.00542385	0.011753943	0.009942097	0.006801537	0.006344562	0.001684508	0.00290384	0.004536051	0.030088748	0.018226046	0.000493583	0.001261878	0.00483498	0.011058371	0.01638369	0.008156232	0.004351205	0.007668496	0.006249982	0.000468823	0.003551133	0.005417957	0.006818929
C[Del(T):R(5,7)]G	4.65e-07	0.019207646	0.012080804	0.007679556	0.002616154	0.00277479	0.002720767	0.000299229	0.000333836	0.002771021	0.021118631	0.000991725	0.005677152	0.002934059	0.006593433	0.004559965	0.003304437	0.00258733	0.000998157	0.000884608	0.0021579	0.024097982	0.013299299	0.000246792	0.001465601	0.002907603	0.004968096	0.009127625	0.00468546	0.002899563	0.004618111	0.003127197	0.0	0.002461958	0.003869969	0.00081225
G[Del(T):R(5,7)]A	1.9e-05	0.015530478	0.016911904	0.005429999	0.001008653	0.002496225	0.004809043	0.000607474	0.000388899	0.00308376	0.019850287	0.002171678	0.00731373	0.002799039	0.013543712	0.007076642	0.00747944	0.006161987	0.007423673	0.003263217	0.00404032	0.0431914	0.026807971	0.000493583	0.001914985	0.002217502	0.011202407	0.009353024	0.005488733	0.008099918	0.009415281	0.005695501	0.0	1.65e-90	0.002321981	0.012021662
