MutationType	InD1	InD2a	InD2b	InD3a	InD3b	InD4a	InD4b	InD4c	InD4d	InD6	InD7	InD8	InD9	InD9a	InD9b	InD9c	InD11	InD12	InD13	InD14	InD15	InD16a	InD16b	InD17	InD18	InD19	InD20	InD21	InD23	InD24	InD26	InD29	InD30	InD31	InD32	InD33
A[Ins(C):R0]A	0.002850688	0.004362029	0.000766026	9.44011e-06	0.014057997	0.001045791	6.97224e-05	0.000664807	2.57e-05	0.000748286	2.87e-208	0.002153139	0.002879089	0.001368176	0.000322063	0.002146159	5.29e-14	0.216794923	0.004518954	0.009138677	0.024623	0.000118268	0.000131508	0.000493583	3.31e-07	0.000886968	0.0245937	0.000521817	1.98556e-06	0.0004875	0.000190881	0.005588722	0.0	0.00073999	0.002321981	0.000932907
A[Ins(C):R0]T	0.00042451	0.001877613	4.64533e-05	0.000291948	0.005464105	0.000237624	1.01e-203	1.48e-05	3.45e-05	0.000531903	0.0	0.001304737	0.000743965	0.002610078	0.000104367	0.001007945	4.15e-25	0.124207717	0.000515723	0.001365166	8.46775e-05	3.02181e-05	0.000129343	0.000246792	6.98e-15	1.87e-51	0.001018379	5.91615e-05	6.6743e-05	1.48e-20	3.11e-43	0.000844835	0.0	5.15e-07	0.0	0.0
Ins(C):R(0,3)	0.009130554	0.001938703	0.006783305	0.016148851	0.025129405	0.011627113	0.008225773	0.003211008	0.007635094	0.000167089	0.002389912	0.011617025	0.014641678	0.029209879	0.018536266	0.009515838	0.021769816	0.051641169	0.025424016	0.007927459	0.006253817	0.000570681	0.001186554	0.052813425	0.007949605	0.011767842	0.005562324	0.00434966	0.039005208	0.038992677	0.028863001	0.020994643	0.248007501	0.03136888	0.006965944	0.012067153
Ins(C):R(4,6)	0.014527546	0.005003123	0.003945163	0.009581146	0.010825145	0.00397063	0.000296556	5.79e-05	0.003239247	0.000224466	0.009000834	0.000564246	0.001780925	0.001057721	0.001020154	7.79128e-05	0.020243656	0.002072868	0.005155342	0.021236117	0.007191025	0.005945966	0.014993019	0.004195459	0.000195944	0.025662703	0.003166785	0.014096355	0.003744394	0.004249374	0.292794232	0.004180311	0.60665729	0.005714434	0.004643963	0.050223133
Ins(C):R(7,9)	0.032920536	0.003078533	0.010950807	0.000839554	0.001338562	0.003341691	0.000754172	7.11e-05	0.000370064	8.25e-05	0.0094655	0.001406673	0.002216765	0.001282523	0.001941291	3.2337e-05	0.009480203	0.003404862	0.002662439	0.00565797	0.000255917	0.005275322	0.007456927	0.001974334	0.000439365	0.028476403	2.25e-51	0.015389861	0.002169572	0.002601483	0.026539942	0.001953269	0.001875293	0.004042586	0.006965944	0.045369697
A[Ins(T):R(0,4)]A	0.01352334	0.003612593	0.003941848	0.003658471	0.011482205	0.006317233	0.007922887	0.003706099	0.020881667	0.00021001	0.001290202	0.006272036	0.005548258	0.010899026	0.017853877	0.006653288	0.021907142	0.041784021	0.020774511	0.027587483	0.010858997	0.001520713	0.005900059	0.02023692	0.007993365	0.00898451	0.015584639	0.004646671	0.026901045	0.002645099	0.008564095	0.021913793	0.00140647	0.013271726	0.01006192	0.005005416
A[Ins(T):R(0,4)]C	0.005338144	0.000764698	0.00135685	0.001503708	0.005897862	0.003741301	0.001694874	0.001633359	0.000547793	0.001260597	0.001242795	0.000745443	0.009626047	0.014197402	0.004812915	0.003151197	0.011386405	0.00447794	0.013098435	0.023652717	0.004616805	0.001021657	0.004246594	0.002221125	0.007551224	0.002570987	0.005128795	0.002679415	0.008622217	0.002420384	0.002463536	0.008562621	0.00140647	0.003580546	0.004643963	0.007098559
A[Ins(T):R(0,4)]G	0.003996574	0.001619979	0.00042303	0.023442612	0.057550123	0.000746423	0.004417937	0.001967485	0.000900331	0.000983257	0.002235253	0.002688636	0.004397992	0.008589693	0.007631932	0.003920717	0.013311988	0.00693611	0.004396047	0.044873921	0.010629176	0.001664587	0.007256236	0.007897335	0.003409012	0.008148019	0.014549657	0.006859973	0.009875155	0.015208193	0.003148349	0.011779044	0.000937647	0.004467436	0.013931889	0.005473871
C[Ins(T):R(0,4)]A	0.003329743	5.67e-06	0.002121695	0.001393452	0.008432163	0.002882621	0.012299144	0.004883187	0.006878212	3.62e-05	0.001017434	0.001355216	0.00486289	0.009195194	0.008357847	0.000996536	0.014677064	0.001399593	0.008587458	0.006513384	0.015818843	0.001793057	0.007612562	0.019002962	0.001497202	0.003389274	0.019107606	0.001164023	0.009795814	0.005081368	0.004357975	0.010317968	0.000937647	0.022827454	0.002321981	0.00303073
C[Ins(T):R(0,4)]C	0.002130562	1.44e-06	0.005979022	0.002603289	0.005938809	0.00322618	0.00016406	0.000410624	0.00543256	0.000493956	0.00210602	0.000320685	0.01529078	0.014788123	0.004733998	0.000370969	0.014236409	0.002914065	0.024328132	0.011030095	0.018163205	0.001917841	0.008671226	0.004195459	0.000507454	0.005827772	0.014825132	0.00295608	0.002783474	0.002053515	0.00246303	0.0147835	0.000468823	0.001954523	0.003095975	0.009883567
C[Ins(T):R(0,4)]G	0.001558135	0.000344692	0.00087592	0.023608022	0.060197663	0.001450571	0.000125685	0.00600949	0.002567547	0.000102393	0.003664362	0.003806054	0.0012536	0.005011395	0.007076842	0.00262315	0.017260265	0.002952046	0.004481713	0.014998324	0.01085519	0.001826827	0.007028347	0.010612043	0.00079178	0.010792217	0.011050743	0.003788249	0.007042783	0.013911267	0.00267231	0.00683551	0.00140647	0.005658195	0.007739938	0.008617591
G[Ins(T):R(0,4)]A	0.001756733	0.000497278	0.003455506	0.000914287	0.009181745	0.0028761	0.00440611	0.00482194	0.00459022	2.15e-12	0.000152883	0.003109945	1.57e-05	0.000559948	0.012712314	0.002729951	0.010974739	0.005863424	0.005847845	0.003205725	0.002350239	3.23944e-05	0.000615667	0.014807502	0.000834964	0.001344414	0.001656816	0.000341012	0.004402528	0.001855433	0.001295176	0.011546009	0.004219409	0.009482291	0.059597523	0.002621486
G[Ins(T):R(0,4)]C	0.000181268	0.000211974	0.001452448	0.000354261	0.00775132	0.001715717	0.00025138	3.77e-05	0.001891905	0.000273924	0.000431874	0.001492898	0.007389285	0.005610351	0.006054127	0.002850222	0.004415414	0.00130837	0.004942714	0.003274757	0.001183358	0.00015409	0.000813734	0.002467917	0.000270139	0.001772107	0.000591684	0.000616016	0.002218192	0.001053837	0.001833415	0.004338453	0.003281763	0.001266551	0.054179567	0.006907647
G[Ins(T):R(0,4)]G	0.003578811	0.001225846	0.002138486	0.016092719	0.055285884	0.001943351	0.003655377	0.000209697	0.008465576	0.00011512	0.001700424	0.003521858	0.003613648	0.008626606	0.005903944	0.003381526	0.008372074	0.001924523	0.004169995	0.013792928	0.003786475	0.000478258	0.001638683	0.003208292	0.000686852	0.007814436	0.002036826	0.002930922	0.005400184	0.005298837	0.003112333	0.005554761	0.001875293	0.005173218	0.086687307	0.003158522
A[Ins(T):R(5,7)]A	0.045016311	0.007457293	0.008088112	0.004146208	0.006098559	0.004324664	0.007906696	0.001748421	0.00026374	0.000442365	0.011803256	0.001882684	0.000143255	0.000344957	0.010041956	0.005584012	0.062525764	0.008101782	0.006937322	0.078665163	0.109833648	0.021033915	0.05974701	0.003701876	0.006380824	0.039266701	0.04682817	0.03105697	0.012193604	0.0053647	0.026945908	0.004212069	0.001875293	0.012130458	0.019349845	0.040809485
A[Ins(T):R(5,7)]C	0.050983053	0.00195354	0.00720289	0.001256709	0.004600367	0.004510539	0.00200396	0.000428921	0.000188686	0.00060812	0.011667501	0.000665819	0.009093023	0.013055233	0.007626364	0.007635893	0.084914187	0.009098162	0.010325216	0.085358779	0.083477901	0.011935942	0.042220133	0.003208292	0.00556315	0.03452589	0.032909862	0.040974654	0.005705686	0.014602843	0.028597554	0.00268954	0.003750586	0.008836937	0.008513932	0.037944642
A[Ins(T):R(5,7)]G	0.034532712	0.002106059	0.007532219	0.006700972	0.005534843	0.002065155	0.001902841	0.003070532	0.00034386	3.1e-05	0.014056286	5.94e-05	6.32e-07	0.002624856	0.000952956	0.002602071	0.051726817	0.012446005	0.005084914	0.076660288	0.030071014	0.008545764	0.025781525	0.002467917	0.00324107	0.04970425	0.012850415	0.050661847	0.001682151	0.007881853	0.016434008	0.004301992	0.002344116	0.002689125	0.010835913	0.031305754
C[Ins(T):R(5,7)]A	0.021166888	0.003662729	0.004570737	0.001516763	0.003280282	0.003077557	0.00487105	0.000607518	0.000227603	0.000150143	0.004473374	0.000101083	0.002630358	0.001825326	0.00199498	0.002099556	0.034459897	0.00657263	0.003719321	0.02966981	0.073936166	0.00623627	0.029376305	0.00148075	0.000507629	0.016234801	0.035924527	0.014821764	0.007435876	0.003269774	0.009366159	0.001594992	0.002344116	0.002226479	0.00619195	0.018327425
C[Ins(T):R(5,7)]C	0.027846717	0.000853446	0.004466765	0.001266266	0.004036695	0.00201356	0.003414703	0.000663013	0.0002121	0.000179201	0.006471164	1.73e-07	0.004278183	0.005788117	0.002937332	0.002317286	0.047156258	0.005616159	0.004477801	0.046524274	0.068734158	0.004074574	0.023626173	0.001727542	0.002722516	0.019359313	0.028067343	0.0276075	0.007872813	0.010500903	0.014782939	0.002283977	0.000468823	4.6099999999999997e-23	0.005417957	0.023140426
C[Ins(T):R(5,7)]G	0.023050833	7.26e-05	0.005864786	0.003618437	0.004906168	0.002016651	0.002363688	0.000720008	7.65e-05	0.000182093	0.007989931	0.000358924	0.000672788	0.002389273	0.001433622	0.000491617	0.037867105	0.003624215	0.002178033	0.035173998	0.026569495	0.004826094	0.015942354	0.001974334	0.001138185	0.024685949	0.009712316	0.031415059	0.002997029	0.008622465	0.008832259	0.002381358	0.00140647	0.005383981	0.004643963	0.020424583
G[Ins(T):R(5,7)]A	0.019619622	0.002420099	0.006201656	0.000520475	0.002448512	0.001535316	0.001848113	0.000873747	0.001439001	0.000205677	0.006585257	0.000569271	0.000162698	0.001346814	0.003230526	0.003645203	0.031188539	0.007583853	0.001683275	0.02281087	0.051016538	0.008574275	0.024765592	0.000493583	0.002101757	0.021179687	0.020489894	0.016760853	0.006938384	0.004250326	0.014838877	0.003818481	0.000937647	0.003710169	0.010835913	0.048561771
G[Ins(T):R(5,7)]C	0.024918125	0.001074374	0.008938142	0.000568198	3.83255e-05	0.003221635	0.00189794	0.000593845	0.000602057	9.27e-05	0.008542587	0.000166227	0.001802446	0.005588794	0.002108172	0.003911504	0.033306536	0.003786347	0.003610015	0.037600154	0.049937159	0.007165591	0.022220291	0.001233959	0.000640424	0.025781814	0.018773554	0.02671605	0.006012384	0.005412955	0.008839593	0.003854305	0.00140647	0.003333301	0.009287926	0.063274266
G[Ins(T):R(5,7)]G	0.020254254	0.003280012	0.007062646	0.003237538	0.004310396	0.001297059	0.001964428	7.97e-05	0.000263716	0.000121156	0.012550022	0.000425094	0.000396894	0.003378588	0.000766576	0.002855161	0.038115045	0.007144232	0.003957392	0.035575972	0.02090227	0.007057225	0.017438492	0.0029615	0.00133072	0.043761767	0.005744144	0.039613323	0.00460149	0.000687012	0.008922804	0.001894411	0.00140647	0.005516066	0.013157895	0.063269985
A[Ins(T):R(8,9)]A	0.072882784	0.00095842	0.00660676	0.000748904	0.004902327	0.006156541	0.008584909	0.000685933	0.0040526	0.000601291	0.012632577	0.000885576	0.008831715	0.002678576	0.011887393	0.011626557	0.006862532	0.012886438	0.003939569	0.033980684	0.038966007	0.010685007	0.018510332	0.002467917	0.004952516	0.03903937	0.018157864	0.029112892	0.009706137	0.006178482	0.020070279	0.002507651	0.00140647	0.006037786	0.021671827	0.009806682
A[Ins(T):R(8,9)]C	0.079329979	0.00040005	0.004519016	0.001733715	0.003539277	0.005887338	0.002440596	0.001556455	0.003175765	0.001307881	0.013097027	0.000491112	0.007610536	0.001639445	0.013104234	0.012487775	0.00205171	0.011483066	0.004141345	0.039258318	0.050014936	0.013610233	0.023251725	0.0029615	0.004665417	0.035065308	0.024018224	0.034211425	0.006395132	0.002867957	0.008789657	0.005455546	0.00281294	0.006060286	0.014705882	0.008650091
A[Ins(T):R(8,9)]G	0.055815889	0.000318533	0.005801662	0.000741904	0.005426109	0.00303576	0.009154942	0.000734133	0.000622583	0.000806865	0.011144581	0.000484501	0.004001996	0.00097336	0.004063511	0.003912097	0.002109603	0.008356256	0.002287818	0.019146243	0.010441576	0.00593356	0.008381037	0.001727542	0.001900147	0.036418436	0.005186155	0.024623664	0.001439067	0.001374666	0.009760572	0.002791343	0.000468823	0.011861384	0.007739938	0.00517153
C[Ins(T):R(8,9)]A	0.039688491	0.001697315	0.005869303	0.000632729	0.003440288	0.002484166	0.004729384	0.000291775	0.00077367	7.98e-05	0.007188099	5.17e-05	0.003859946	0.000764608	0.004856906	0.00466046	0.002278816	0.005119785	0.002093788	0.01427947	0.017832631	0.006174365	0.010413359	0.00148075	0.001222439	0.02516501	0.006527932	0.016709147	0.002478682	0.004988974	0.007890982	0.000767407	0.000937647	0.002358629	0.007739938	0.006146283
C[Ins(T):R(8,9)]C	0.047435392	0.000476116	0.005645463	0.001130637	0.001060161	0.00362245	0.004012889	0.000938828	7.67e-05	0.000733946	0.009940453	0.00066612	0.002200639	0.000997804	0.006179062	0.005672339	0.00345891	0.005573029	0.001639323	0.020451169	0.033377898	0.011913619	0.019558241	0.001727542	0.001897164	0.027301811	0.011771313	0.025154872	0.00181338	0.004684043	0.013439508	0.002540656	0.001875293	0.009840458	0.008513932	0.00596345
C[Ins(T):R(8,9)]G	0.041727406	0.001394213	0.005734401	0.001094287	0.00220082	0.001879308	0.002246286	0.000866684	0.00076206	4.44e-05	0.010236873	0.001339089	0.0035283	0.001610371	0.001882883	0.002750978	0.000660913	0.005111741	0.001802288	0.011540337	0.006299129	0.005766939	0.008535706	0.002221125	0.000333006	0.039228604	0.002038252	0.019639981	0.002042375	0.000832228	0.008991574	0.002663452	0.00281294	0.003011666	0.005417957	0.006549019
G[Ins(T):R(8,9)]A	0.040121906	0.001041027	0.002486202	0.000545625	0.001833104	0.002789943	0.004238847	0.001260664	0.001543943	2.89e-05	0.008339759	0.000415343	0.003099362	0.002205044	0.007778558	0.010725888	0.002496933	0.006692146	0.002917866	0.014313493	0.016467257	0.006187735	0.008974803	0.001233959	0.001512603	0.027738134	0.006267674	0.018463774	0.007907775	0.004926772	0.00790562	0.001856259	0.001875293	0.006587745	0.005417957	0.008545938
G[Ins(T):R(8,9)]C	0.043916273	0.001524424	0.004834422	0.002158765	0.001532698	0.002394071	0.005041585	0.000949625	0.00312553	1.37e-05	0.009705909	0.001550826	0.001283062	0.000871371	0.008082115	0.008696498	0.000452412	0.004803898	0.00362229	0.015952946	0.022625911	0.008177773	0.011417496	0.000493583	0.002050036	0.029960446	0.009296808	0.021147545	0.005211799	0.002301631	0.006243879	0.003432678	0.002344116	0.007471565	0.012383901	0.007992714
G[Ins(T):R(8,9)]G	0.040177585	0.000475698	0.005350158	0.000329096	0.003311136	0.001058829	0.000255853	6.39e-05	0.001458988	6.34e-05	0.010521198	0.001057789	0.002035913	0.004631231	0.001106633	0.002312218	0.002938446	0.005188243	0.00276211	0.009299819	0.005531206	0.004806545	0.005825293	0.000987167	0.001621532	0.040979193	0.001443635	0.01870743	0.002757769	0.001506849	0.008422089	0.00133436	0.000937647	0.003678406	0.007739938	0.009237086
Ins(2,4):R0	0.012194202	0.001552197	0.014266045	0.003672688	0.003751517	0.005560297	0.002394813	0.003412422	0.011115746	0.006217797	0.004658523	8.54e-05	0.02252487	0.025238028	0.002618661	0.004146962	0.000458036	0.046014876	0.019655336	0.007861164	0.014810467	0.001901533	0.001761365	0.068114511	5.6709e-05	0.016881542	0.013839473	0.008432032	0.004868229	0.003497091	0.004697646	0.015050198	0.000937647	0.013095075	0.006965944	0.007204221
Ins(5,):R0	0.000844059	0.004472975	0.010537126	0.000779902	0.001000098	0.010462296	0.003656644	8.87e-06	0.034547654	0.01566861	0.004068428	5.31e-05	0.008426263	0.012612848	0.008830285	0.010757029	0.03585413	0.007923017	0.018043651	0.002695465	0.005013974	0.000970377	0.001565857	0.009378085	0.003116262	0.015192033	0.005949289	0.004169894	0.044383701	0.006915844	0.012375759	0.010585401	0.003281763	0.013869215	0.011609907	0.027205517
Ins(2,4):R1	0.0078176	2.9e-15	0.004247114	0.000710774	0.004433113	0.010839103	0.008847565	0.004406355	0.012678825	2.92e-06	0.000347934	0.004704497	0.014084488	0.008263114	0.010451367	0.002652218	0.009430532	0.003919397	0.012171448	0.001312826	0.001290656	4.94383e-05	4.0800000000000005e-129	0.201628825	0.004114194	0.001577959	0.001067211	0.000625863	0.048291223	0.000123217	0.006531289	0.010974863	0.000468823	0.004540579	0.002321981	0.002978724
Ins(5,):R1	0.005419384	0.003623105	0.005404125	0.000369313	0.001862561	0.012144081	0.000143961	0.001116393	0.017725967	0.00866465	2.58e-96	0.02091271	0.004384059	0.000304971	0.001300666	0.010453565	0.03738554	0.008105003	0.013272527	0.002185876	0.001190515	4.64e-242	2.78e-26	0.005676209	0.000398341	0.004730133	0.000677592	0.00023768	0.32552983	0.002815387	0.004650348	0.013879123	0.001875293	0.00109661	0.006965944	0.007190532
Ins(2,):R(2,4)	0.008996927	0.001350884	0.009714936	0.001683022	0.007511155	0.008430368	0.006421967	0.000883608	0.017208084	0.003514239	0.003141811	0.001789326	0.006187571	0.013398392	0.008930299	0.00036145	0.012896857	0.005093287	0.00557829	0.002386889	0.00304208	0.00122971	0.002342009	0.063425469	0.008690357	0.008170715	0.00314024	0.001797266	0.022986659	0.005844803	0.009900387	0.014564103	0.001875293	0.006017816	0.007739938	0.003725994
Ins(2,):R(5,9)	0.046020385	0.010451917	0.017195757	0.000182744	0.004600424	0.011596969	0.008144542	0.000676414	0.032671436	0.003087909	0.023834297	0.001684015	0.011630225	0.017130937	0.007416994	0.002729994	0.000146832	0.013420301	0.016290865	0.008211186	0.012440442	0.010251282	0.011980691	0.004689042	0.000146511	0.059372676	0.003873381	0.013737906	0.010906638	0.016388981	0.010295864	0.001833544	0.00281294	0.001532154	0.023219814	0.007510175
[Del(C):R1]A	0.001223962	1.89e-19	0.00435634	0.019118051	0.039230797	0.008036129	0.019878934	0.000471047	0.002040243	1.4e-09	0.002247799	5.45e-06	0.156779404	0.160880159	0.032389589	0.055094708	4.71e-05	0.012314069	0.019040288	0.005813383	0.000966679	0.000700352	0.000336761	0.005182626	8.18951e-05	0.00170122	0.002162295	0.000801932	0.001944435	0.001057686	0.003568745	0.031680836	0.0	0.01171054	0.006965944	8e-106
[Del(C):R1]T	9.91e-14	0.001423835	0.025488245	0.006387033	0.025811755	0.005120921	0.021460165	3.47e-09	6.51e-08	0.015373797	0.001748931	0.00115537	0.207613798	0.176707465	0.072283238	0.09404316	3.55e-11	0.013198313	0.029124851	0.006592293	0.00331837	0.000982131	2.16e-34	0.005923001	1.28252e-05	0.001288702	0.010575766	0.001755042	0.001288823	0.004649728	0.004221545	0.03114137	0.000937647	0.018163693	0.018575851	0.087181986
[Del(C):R2]A	0.003505962	0.001517889	0.004209966	0.124373046	0.097649464	0.005737478	0.005101518	0.000301529	0.006301797	0.001949483	0.000609354	0.00850487	0.041150897	0.022726818	0.033068892	0.01836267	0.012545738	0.001902706	0.011257061	0.006844684	0.005237973	0.000626608	0.002699138	0.003455084	0.001159199	0.000671455	0.013608445	0.000856758	0.006033365	0.006633814	0.007806983	0.015627788	0.005157056	0.013755334	0.012383901	0.004879853
